iter	Logloss
0	0.6813370063
1	0.6692961024
2	0.6590871048
3	0.6492698232
4	0.6397718351
5	0.6321001347
6	0.6238631941
7	0.6174949506
8	0.6100736747
9	0.6020763213
10	0.5946446266
11	0.5895326058
12	0.5840110102
13	0.5787955135
14	0.5725372193
15	0.568205086
16	0.5639841793
17	0.5593644047
18	0.553662359
19	0.5480090623
20	0.5430734899
21	0.539790073
22	0.5354769511
23	0.5314418876
24	0.5276457845
25	0.5241340681
26	0.5213121846
27	0.5185399281
28	0.5156209101
29	0.5126081751
30	0.5102969377
31	0.5080758158
32	0.5052898494
33	0.5032290479
34	0.500117716
35	0.497728305
36	0.4957445825
37	0.4938739533
38	0.4919976123
39	0.4905887296
40	0.4885290292
41	0.4871611308
42	0.4854388115
43	0.4839600805
44	0.4820923245
45	0.480202267
46	0.4786170657
47	0.4772051875
48	0.4759946206
49	0.4744385504
50	0.4731099539
51	0.472142787
52	0.4707908907
53	0.4696317412
54	0.4685264158
55	0.4670859972
56	0.4660942958
57	0.4652506016
58	0.46385268
59	0.4629192387
60	0.4619178798
61	0.460870382
62	0.4595694188
63	0.4583360185
64	0.4572486121
65	0.4564503547
66	0.4555381604
67	0.4546220719
68	0.4539031251
69	0.4527555216
70	0.4518276879
71	0.4510879611
72	0.4502891723
73	0.449327212
74	0.4487986757
75	0.4479413723
76	0.4469330255
77	0.4460506466
78	0.4453691338
79	0.444501798
80	0.4438382016
81	0.4429823242
82	0.4423116093
83	0.4415154006
84	0.440953978
85	0.4403396501
86	0.4395412044
87	0.4388338024
88	0.4381212245
89	0.4376103032
90	0.4369445483
91	0.436520418
92	0.4359917023
93	0.4353976357
94	0.4349084551
95	0.4344731131
96	0.4339721427
97	0.4334250044
98	0.4327932824
99	0.432361501
100	0.4319090804
101	0.4314799455
102	0.4310419699
103	0.430668671
104	0.4302115777
105	0.4297798064
106	0.4294277395
107	0.4289506592
108	0.4283868727
109	0.4281051704
110	0.4276663106
111	0.427320701
112	0.4268340729
113	0.4263401444
114	0.4260651047
115	0.4257624418
116	0.4254008335
117	0.4248837537
118	0.4245350539
119	0.4240991197
120	0.423669703
121	0.4233887356
122	0.4231183637
123	0.4227315289
124	0.4224539991
125	0.4221719894
126	0.421967387
127	0.4216257226
128	0.4213022861
129	0.4209683438
130	0.4206675111
131	0.420365469
132	0.419993093
133	0.4196633301
134	0.4193104601
135	0.4188500924
136	0.418558177
137	0.4182835967
138	0.4179441135
139	0.4176563335
140	0.4173311288
141	0.4171066394
142	0.4168867495
143	0.4166364622
144	0.4163191996
145	0.4161397971
146	0.4158439112
147	0.4156300396
148	0.415244455
149	0.4149791084
150	0.4146847653
151	0.41403389
152	0.4137668845
153	0.413529929
154	0.4133457834
155	0.4130691989
156	0.4128113046
157	0.4125351202
158	0.412066597
159	0.4118045839
160	0.4115364094
161	0.4111512814
162	0.4110060092
163	0.4108226096
164	0.4106817872
165	0.4104865141
166	0.4099892633
167	0.409691511
168	0.409502789
169	0.4092097144
170	0.4090759349
171	0.4088215671
172	0.408677609
173	0.4085357354
174	0.4082456214
175	0.4081267205
176	0.4078862178
177	0.4076724166
178	0.407416494
179	0.4072763357
180	0.4070684592
181	0.4068966507
182	0.406725479
183	0.4065395787
184	0.4063212327
185	0.4059365842
186	0.4056856477
187	0.4055294454
188	0.4053258441
189	0.4051605352
190	0.4049429102
191	0.4047331435
192	0.4045855699
193	0.4044055942
194	0.4041694296
195	0.4040085737
196	0.4038110123
197	0.403610896
198	0.4033935815
199	0.4031916221
200	0.4029437852
201	0.4028075777
202	0.4026528826
203	0.4024738229
204	0.4021402522
205	0.4019443605
206	0.4017986178
207	0.4016188871
208	0.4014323481
209	0.4013043892
210	0.4011113443
211	0.4009520637
212	0.4008083719
213	0.4006196332
214	0.4003410916
215	0.4001798874
216	0.4000352916
217	0.3998245933
218	0.3996126544
219	0.3994434019
220	0.3992830595
221	0.3990570731
222	0.3989006542
223	0.398730914
224	0.3986333859
225	0.3984791509
226	0.3982515807
227	0.3980739617
228	0.3978950419
229	0.3976092471
230	0.3974854586
231	0.3972471794
232	0.3971174459
233	0.3969063699
234	0.3967112383
235	0.3965972612
236	0.3963943964
