iter	Passed	Remaining
0	4	4046
1	7	3938
2	11	3789
3	15	3771
4	19	3812
5	23	3819
6	26	3776
7	30	3769
8	34	3804
9	38	3801
10	42	3797
11	46	3795
12	50	3832
13	54	3856
14	58	3874
15	62	3856
16	66	3870
17	70	3871
18	74	3856
19	78	3848
20	82	3866
21	86	3857
22	90	3851
23	94	3845
24	99	3871
25	102	3852
26	106	3851
27	110	3832
28	115	3864
29	119	3860
30	124	3880
31	130	3940
32	134	3950
33	139	3949
34	143	3944
35	148	3963
36	152	3958
37	155	3941
38	160	3943
39	164	3942
40	168	3931
41	171	3922
42	176	3930
43	180	3928
44	184	3915
45	188	3906
46	192	3910
47	196	3901
48	200	3890
49	204	3885
50	208	3888
51	213	3885
52	216	3875
53	220	3868
54	225	3879
55	229	3869
56	233	3863
57	237	3852
58	242	3859
59	246	3860
60	250	3853
61	253	3842
62	259	3856
63	263	3849
64	267	3841
65	270	3834
66	275	3833
67	279	3826
68	283	3819
69	286	3811
70	291	3810
71	294	3802
72	298	3791
73	302	3786
74	307	3786
75	311	3781
76	315	3784
77	320	3782
78	324	3781
79	330	3800
80	334	3796
81	339	3805
82	344	3801
83	348	3801
84	354	3811
85	359	3823
86	365	3830
87	370	3835
88	374	3836
89	379	3836
90	384	3841
91	389	3840
92	393	3835
93	397	3827
94	401	3826
95	406	3825
96	410	3820
97	414	3814
98	419	3813
99	423	3807
100	427	3802
101	431	3796
102	435	3795
103	439	3790
104	444	3790
105	449	3790
106	454	3792
107	459	3794
108	464	3795
109	470	3803
110	475	3804
111	480	3809
112	486	3817
113	491	3820
114	497	3830
115	503	3840
116	509	3848
117	515	3855
118	520	3855
119	535	3927
120	541	3936
121	548	3948
122	553	3949
123	559	3951
124	566	3963
125	571	3963
126	575	3958
127	581	3964
128	587	3967
129	592	3964
130	598	3970
131	603	3966
132	608	3964
133	614	3971
134	619	3971
135	625	3970
136	630	3973
137	636	3973
138	641	3975
139	648	3984
140	653	3983
141	659	3983
142	665	3989
143	671	3992
144	677	3996
145	683	3996
146	688	3992
147	693	3989
148	696	3980
149	701	3975
150	705	3967
151	710	3963
152	716	3967
153	721	3963
154	726	3963
155	731	3959
156	737	3957
157	742	3956
158	747	3953
159	751	3945
160	756	3940
161	759	3931
162	764	3926
163	768	3919
164	774	3917
165	778	3911
166	783	3906
167	788	3903
168	793	3901
169	797	3895
170	802	3892
171	807	3888
172	812	3882
173	816	3875
174	821	3872
175	825	3865
176	830	3861
177	835	3857
178	840	3855
179	844	3848
180	849	3842
181	854	3842
182	859	3838
183	864	3832
184	869	3830
185	874	3828
186	879	3825
187	884	3821
188	889	3816
189	894	3812
190	899	3810
191	904	3805
192	908	3800
193	913	3795
194	918	3793
195	925	3794
196	932	3799
197	937	3797
198	942	3794
199	947	3791
200	953	3788
201	957	3783
202	962	3777
203	968	3778
204	973	3774
205	977	3769
206	984	3770
207	989	3766
208	994	3762
209	999	3761
210	1004	3756
211	1008	3748
212	1012	3742
213	1017	3738
214	1022	3733
215	1027	3728
216	1032	3725
217	1036	3719
218	1040	3712
219	1046	3709
220	1050	3704
221	1054	3697
222	1060	3693
223	1066	3693
224	1071	3689
225	1076	3688
226	1081	3683
227	1086	3679
228	1091	3675
229	1096	3670
230	1101	3665
231	1107	3664
232	1112	3662
233	1117	3659
234	1123	3658
235	1129	3655
236	1134	3653
237	1139	3648
238	1145	3646
239	1149	3641
240	1155	3638
241	1162	3641
242	1168	3639
243	1174	3638
244	1179	3635
245	1184	3630
246	1190	3628
247	1194	3623
248	1199	3618
249	1204	3614
250	1210	3611
251	1215	3606
252	1220	3604
253	1226	3602
254	1232	3601
255	1238	3599
256	1246	3603
257	1254	3607
258	1262	3611
259	1269	3612
260	1277	3616
261	1285	3619
262	1291	3618
263	1298	3618
264	1305	3620
265	1311	3620
266	1318	3619
267	1324	3617
268	1331	3618
269	1338	3620
270	1347	3623
271	1354	3625
272	1360	3623
273	1365	3617
274	1371	3614
275	1375	3608
276	1380	3603
277	1386	3602
278	1391	3597
279	1397	3593
280	1404	3593
281	1410	3590
282	1415	3586
283	1419	3578
284	1423	3570
285	1427	3563
286	1431	3557
287	1436	3552
288	1441	3547
289	1445	3539
290	1450	3534
291	1454	3527
292	1458	3519
293	1462	3512
294	1467	3507
295	1471	3499
296	1475	3492
297	1479	3486
298	1484	3480
299	1488	3472
300	1492	3465
301	1497	3461
302	1501	3454
303	1506	3448
304	1511	3443
305	1515	3437
306	1520	3433
307	1525	3427
308	1530	3423
309	1535	3416
310	1539	3410
311	1543	3404
312	1547	3396
313	1551	3389
314	1555	3382
315	1559	3376
316	1564	3370
317	1568	3363
318	1572	3355
319	1576	3349
320	1580	3343
321	1584	3336
322	1588	3329
323	1593	3324
324	1597	3317
325	1601	3310
326	1605	3303
327	1609	3297
328	1615	3293
329	1618	3287
330	1623	3281
331	1627	3275
332	1632	3269
333	1636	3263
334	1642	3260
335	1647	3256
336	1653	3252
337	1658	3248
338	1662	3242
339	1667	3236
340	1671	3230
341	1677	3227
342	1683	3223
343	1688	3220
344	1693	3214
345	1698	3209
346	1704	3208
347	1709	3202
348	1714	3197
349	1720	3195
350	1725	3190
351	1730	3185
352	1734	3179
353	1741	3177
354	1747	3174
355	1753	3172
356	1760	3170
357	1768	3170
358	1773	3166
359	1777	3160
360	1783	3156
361	1789	3154
362	1795	3151
363	1801	3147
364	1807	3144
365	1812	3140
366	1819	3138
367	1825	3135
368	1832	3134
369	1839	3132
370	1845	3128
371	1853	3128
372	1860	3127
373	1866	3123
374	1871	3119
375	1877	3115
376	1883	3112
377	1889	3109
378	1894	3104
379	1901	3102
380	1906	3097
381	1911	3092
382	1917	3088
383	1922	3083
384	1927	3078
385	1932	3074
386	1937	3068
387	1942	3064
388	1948	3059
389	1953	3055
390	1959	3051
391	1964	3046
392	1969	3042
393	1975	3038
394	1981	3034
395	1986	3030
396	1991	3025
397	1996	3019
398	2001	3014
399	2005	3007
400	2010	3002
401	2015	2997
402	2020	2992
403	2025	2987
404	2029	2981
405	2034	2976
406	2039	2971
407	2043	2965
408	2048	2960
409	2053	2954
410	2057	2949
411	2063	2944
412	2067	2938
413	2072	2933
414	2077	2928
415	2081	2922
416	2085	2916
417	2091	2912
418	2096	2907
419	2101	2901
420	2106	2896
421	2110	2890
422	2115	2885
423	2119	2879
424	2124	2874
425	2128	2868
426	2132	2861
427	2136	2855
428	2141	2850
429	2145	2843
430	2149	2837
431	2153	2832
432	2158	2826
433	2163	2821
434	2169	2817
435	2176	2815
436	2182	2811
437	2189	2808
438	2194	2804
439	2199	2799
440	2206	2796
441	2212	2792
442	2217	2788
443	2222	2783
444	2227	2778
445	2233	2774
